Timestamp,Emotion,Confidence,FingerCount
01:02:53,No Face,0,-
01:02:54,No Face,0,-
01:02:54,No Face,0,-
01:02:54,No Face,0,-
01:02:54,No Face,0,-
01:02:54,No Face,0,-
01:02:54,No Face,0,-
01:02:54,No Face,0,-
01:02:54,No Face,0,-
01:02:55,No Face,0,-
01:02:55,No Face,0,-
01:02:55,No Face,0,-
01:02:55,No Face,0,-
01:02:55,No Face,0,-
01:02:55,No Face,0,-
01:02:55,No Face,0,-
01:02:55,No Face,0,-
01:02:55,No Face,0,-
01:02:55,No Face,0,-
01:02:55,No Face,0,-
01:02:56,No Face,0,-
01:02:56,No Face,0,-
01:02:56,No Face,0,-
01:02:56,No Face,0,-
01:02:56,No Face,0,-
01:02:56,No Face,0,-
01:02:56,No Face,0,-
01:02:56,No Face,0,-
01:02:56,No Face,0,-
01:02:57,No Face,0,-
01:02:57,No Face,0,-
01:02:57,No Face,0,-
01:02:57,No Face,0,-
01:02:57,No Face,0,-
01:02:57,No Face,0,-
01:02:57,No Face,0,-
01:02:57,No Face,0,-
01:02:57,No Face,0,-
01:02:57,No Face,0,-
01:02:58,No Face,0,-
01:02:58,No Face,0,-
01:02:58,No Face,0,-
01:02:58,No Face,0,-
01:02:58,No Face,0,-
01:02:58,No Face,0,-
01:02:58,No Face,0,-
01:02:58,No Face,0,-
01:02:58,No Face,0,-
01:02:58,No Face,0,-
01:02:58,No Face,0,-
01:02:59,No Face,0,-
01:02:59,No Face,0,-
01:02:59,No Face,0,-
01:02:59,No Face,0,-
01:02:59,No Face,0,-
01:02:59,No Face,0,-
01:02:59,No Face,0,-
01:02:59,No Face,0,-
01:02:59,No Face,0,-
01:02:59,No Face,0,-
01:02:59,No Face,0,-
01:03:00,No Face,0,-
01:03:00,No Face,0,-
01:03:00,No Face,0,-
01:03:00,No Face,0,-
01:03:00,No Face,0,-
01:03:00,No Face,0,-
01:03:00,No Face,0,-
01:03:00,No Face,0,-
01:03:00,No Face,0,-
01:03:00,No Face,0,-
01:03:00,No Face,0,-
01:03:01,No Face,0,-
01:03:01,No Face,0,-
01:03:01,No Face,0,-
01:03:01,No Face,0,-
01:03:01,No Face,0,-
01:03:01,No Face,0,-
01:03:01,No Face,0,-
01:03:01,No Face,0,-
01:03:01,No Face,0,-
01:03:01,No Face,0,-
01:03:01,No Face,0,-
01:03:02,No Face,0,-
01:03:02,No Face,0,-
01:03:02,No Face,0,-
01:03:02,No Face,0,-
01:03:02,No Face,0,-
01:03:02,No Face,0,-
01:03:02,No Face,0,-
01:03:02,No Face,0,-
01:03:02,No Face,0,-
01:03:02,No Face,0,-
01:03:02,No Face,0,-
01:03:02,No Face,0,-
01:03:03,No Face,0,-
01:03:03,No Face,0,-
01:03:03,No Face,0,-
01:03:03,No Face,0,-
01:03:03,No Face,0,-
01:03:03,No Face,0,-
01:03:03,No Face,0,-
01:03:03,No Face,0,-
01:03:03,No Face,0,-
01:03:03,No Face,0,-
01:03:03,No Face,0,-
01:03:04,No Face,0,-
01:03:04,No Face,0,-
01:03:04,No Face,0,-
01:03:04,No Face,0,-
01:03:04,No Face,0,-
01:03:04,No Face,0,-
01:03:04,No Face,0,-
01:03:04,No Face,0,-
01:03:04,No Face,0,-
01:03:04,No Face,0,-
01:03:04,No Face,0,-
01:03:05,No Face,0,-
01:03:05,No Face,0,-
01:03:05,No Face,0,-
01:03:05,No Face,0,-
01:03:05,No Face,0,-
01:03:05,No Face,0,-
01:03:05,No Face,0,-
01:03:05,No Face,0,-
01:03:05,No Face,0,-
01:03:05,No Face,0,-
01:03:06,No Face,0,-
01:03:06,No Face,0,-
01:03:06,No Face,0,-
01:03:06,No Face,0,-
01:03:06,No Face,0,-
01:03:06,No Face,0,-
01:03:06,No Face,0,-
01:03:06,No Face,0,-
01:03:06,No Face,0,-
01:03:06,No Face,0,-
01:03:07,No Face,0,-
01:03:07,No Face,0,-
01:03:07,No Face,0,-
01:03:07,No Face,0,-
01:03:07,No Face,0,-
01:03:07,No Face,0,-
01:03:07,No Face,0,-
01:03:07,No Face,0,-
01:03:07,No Face,0,-
01:03:07,No Face,0,-
01:03:07,No Face,0,-
01:03:07,No Face,0,-
01:03:08,No Face,0,-
01:03:08,No Face,0,-
01:03:08,No Face,0,-
01:03:08,No Face,0,-
01:03:08,No Face,0,-
01:03:08,No Face,0,-
01:03:08,No Face,0,-
01:03:08,No Face,0,-
01:03:08,No Face,0,-
01:03:08,No Face,0,-
01:03:08,No Face,0,-
01:03:09,No Face,0,-
01:03:09,No Face,0,-
01:03:09,No Face,0,-
01:03:09,No Face,0,-
01:03:09,No Face,0,-
01:03:09,No Face,0,-
01:03:09,No Face,0,-
01:03:09,No Face,0,-
01:03:09,No Face,0,-
01:03:09,No Face,0,-
01:03:10,No Face,0,-
01:03:10,No Face,0,-
01:03:10,No Face,0,-
01:03:10,No Face,0,-
01:03:10,No Face,0,-
01:03:10,No Face,0,-
01:03:10,No Face,0,-
01:03:10,No Face,0,-
01:03:10,No Face,0,-
01:03:10,No Face,0,-
01:03:10,No Face,0,-
01:03:10,No Face,0,-
01:03:11,No Face,0,-
01:03:11,No Face,0,-
01:03:11,No Face,0,-
01:03:11,No Face,0,-
01:03:11,No Face,0,-
01:03:11,No Face,0,-
01:03:11,No Face,0,-
01:03:11,No Face,0,-
01:03:11,No Face,0,-
01:03:11,No Face,0,-
01:03:11,No Face,0,-
01:03:12,No Face,0,-
01:03:12,No Face,0,-
01:03:12,No Face,0,-
01:03:12,No Face,0,-
01:03:12,No Face,0,-
01:03:12,No Face,0,-
01:03:12,No Face,0,-
01:03:12,No Face,0,-
01:03:12,No Face,0,-
01:03:13,No Face,0,-
01:03:13,No Face,0,-
01:03:13,No Face,0,-
01:03:13,No Face,0,-
01:03:13,No Face,0,-
01:03:13,No Face,0,-
01:03:14,No Face,0,-
01:03:15,No Face,0,-
01:03:15,No Face,0,-
01:03:15,No Face,0,-
01:03:15,No Face,0,-
01:03:15,No Face,0,-
01:03:15,No Face,0,-
01:03:15,No Face,0,-
01:03:15,No Face,0,-
01:03:15,No Face,0,-
01:03:15,No Face,0,-
01:03:15,No Face,0,-
01:03:15,No Face,0,-
01:03:16,No Face,0,-
01:03:16,No Face,0,-
01:03:16,No Face,0,-
01:03:16,No Face,0,-
01:03:16,No Face,0,-
01:03:16,No Face,0,-
01:03:16,No Face,0,-
01:03:16,No Face,0,-
01:03:16,No Face,0,-
01:03:16,No Face,0,-
01:03:16,No Face,0,-
01:03:17,No Face,0,-
01:03:17,No Face,0,-
01:03:17,No Face,0,-
01:03:17,No Face,0,-
01:03:17,No Face,0,-
01:03:17,No Face,0,-
01:03:17,No Face,0,-
01:03:18,No Face,0,-
01:03:18,No Face,0,-
01:03:18,No Face,0,-
01:03:18,No Face,0,-
01:03:18,No Face,0,-
01:03:19,No Face,0,-
01:03:19,No Face,0,-
01:03:19,No Face,0,-
01:03:19,No Face,0,-
